,Area (ft2),Thickness (ft),NTG,Porosity,Sw,Bo (ft3/ft3),GRV (ft3),NRV (ft3),HCPV (ft3),OIIP (mmbo)
75,79740.48765594265,50.0,0.7377915694568764,0.13857487982848868,0.10144083867156069,1.8285692163320835,3987024.3827971322,2941592.9768467303,366280.47358902823,0.035674065241776
76,144001.08258505972,50.0,0.7689082895160764,0.1674594083142347,0.12224979113401667,1.8441998332351033,7200054.129252986,5536181.304947076,813749.6191031031,0.07858380606965536
77,104364.87832858643,50.0,0.7497153661791791,0.14971275617388308,0.10977343430035676,1.8348297058059793,5218243.916429321,3912197.6486180825,521410.9453430802,0.05060979990147795
78,140523.4644548043,50.0,0.7672243326533781,0.16593026868251257,0.12138929990868973,1.8435545337799015,7026173.222740216,5390651.061923897,785892.8274725399,0.07592024058443264
79,124769.16398998267,50.0,0.7595956737865699,0.159073914231197,0.11692665439256003,1.8402049425394325,6238458.199499133,4738705.859437896,665664.6524334863,0.06442279199287938
80,36494.539273480914,50.0,0.7168507102725501,0.11819793676260043,0.09227985333908895,1.8217036786201366,1824726.9636740456,1308056.8199632133,140342.26447976,0.013720217113698028
81,102914.54195486226,50.0,0.7490130740360293,0.14901067854154315,0.10921994718952589,1.8344136885587679,5145727.097743113,3854216.8716310645,511592.3289640159,0.04966803526241437
82,90160.79282065145,50.0,0.7428373633699166,0.14314157842876257,0.10469106052294154,1.8310102382029176,4508039.641032573,3348740.2809117017,429160.9410294088,0.0417426153176173
83,89933.771508846,50.0,0.7427274335036476,0.14304068120886226,0.10461593993994282,1.830953801442852,4496688.5754423,3339813.964903433,427751.16859241197,0.04160677532860052
84,129618.281595715,50.0,0.7619437478316071,0.16118767536733303,0.11839871717963547,1.8413103300253741,6480914.07978575,4938091.9633265855,701718.9729765237,0.06787134706440501
85,184806.31921880887,50.0,0.7886672899841293,0.18897325436014437,0.12896841431397257,1.8492294181021771,9240315.960940443,7287534.947511994,1199540.4473037142,0.11552456508839884
86,138530.63256091363,50.0,0.7662593494901248,0.16505968628348283,0.12087588052428234,1.8431694110190229,6926531.628045681,5307519.619529058,770163.2988189019,0.07441625392875983
87,138740.7892596598,50.0,0.7663611130541046,0.1651513413759156,0.12093072194313798,1.8432105517102477,6937039.46298299,5316277.284151892,771814.3207905436,0.07457411772493074
88,142384.6823413819,50.0,0.7681255847505567,0.16674684427159925,0.12185544239764615,1.8439041299150365,7119234.117069095,5468465.8691498125,800735.6113986123,0.07733944404760072
89,77744.0063540005,50.0,0.7368248191514288,0.13770824644871096,0.10086427245649944,1.8281364038332126,3887200.317700025,2864185.671094698,354638.8995840068,0.034548405889586485
90,37865.131106104425,50.0,0.7175143879496431,0.11896706583932878,0.09246284179274962,1.8218405227115038,1893256.5553052214,1358438.8185114753,146666.60854576825,0.014337424083294336
91,180902.18620960996,50.0,0.7867768030682343,0.18633083816531065,0.12859569974769736,1.8489508823774226,9045109.310480498,7116482.186702567,1155499.6092018487,0.11129987282966815
92,86034.01899210003,50.0,0.7408390677408095,0.14131958964566244,0.10335550281103087,1.8300069767236307,4301700.949605001,3186868.121205124,403818.9982465468,0.039299248084111865
93,95983.15939164313,50.0,0.745656710916752,0.14576474847238302,0.10668330430294393,1.8325072115104153,4799157.969582156,3578524.3467685482,465974.2679339428,0.045286262719500654
94,63435.46405029189,50.0,0.7298962355332591,0.131444816304281,0.09716670282351227,1.8253627093943607,3171773.2025145944,2315065.320480672,274735.1839867638,0.026804971285533673
95,77746.81666902633,50.0,0.7368261799820598,0.1377094659499678,0.1008650736176388,1.8281370051924264,3887340.8334513167,2864294.49660021,354655.19886483194,0.03454998237672396
96,73663.76272938072,50.0,0.7348490547069715,0.13593678728506875,0.09973210774499015,1.827286739683817,3683188.136469036,2706587.320392203,331230.8705568422,0.03228303394794277
97,132945.80775707582,50.0,0.7635550260989021,0.1626321410445295,0.11935820366317815,1.8420305832640897,6647290.387853791,5075571.985584683,726926.7738735804,0.07028199290681468
98,25756.269247295146,50.0,0.7116509491639967,0.11148837526016052,0.09109031587466522,1.8208144676985323,1287813.4623647572,916473.6728380525,92868.9019955362,0.009083534180311725
99,49052.38772885935,50.0,0.7229315605255379,0.12476945549272225,0.09421980458918204,1.8231551388088185,2452619.3864429677,1773075.9604164017,200381.87781935243,0.019574246614010925
100,187935.52230553236,50.0,0.7901825348486589,0.19128045040753394,0.12922576662155894,1.8494217042680132,9396776.115276618,7425168.370174611,1236751.5442497486,0.11909588352913397
101,91279.53630220545,50.0,0.7433790892560832,0.1436401203378895,0.10506405406508605,1.8312904723081234,4563976.815110273,3392764.9282025537,436135.54456951155,0.04241451312809925
102,89603.42269814713,50.0,0.742567469664599,0.14289401580199582,0.10450697166706241,1.8308719368418793,4480171.134907356,3326829.3433125303,425703.06203805946,0.04140941025998168
103,104856.2439410622,50.0,0.749953298713526,0.14995275956202406,0.10996273754812487,1.8349719923141767,5242812.19705311,3931864.3017154885,524760.542730836,0.050930972875434695
104,9182.12943185667,50.0,0.7036253018846972,0.09654011183420622,0.09010559781614645,1.8200788568825312,459106.4715928335,323038.92967172567,28376.16190541848,0.0027766023580432985
105,105943.47477331273,50.0,0.7504797653216269,0.15048324683268813,0.11038114132293207,1.8352864781443932,5297173.738665637,3975421.7042616718,532200.5735344039,0.05164421884223136
106,96440.96330833824,50.0,0.7458783919692464,0.14597442087557053,0.10684531211086022,1.832628961098103,4822048.165416912,3596661.531619421,468924.59598400287,0.04556996624142284
107,125742.70333994762,50.0,0.7600670879005054,0.15949969980786355,0.11722922043295529,1.8404321751875243,6287135.166997381,4778644.517616557,672841.1491565378,0.06510929099123004
108,130544.7825205736,50.0,0.7623923846664391,0.16159008844303294,0.11867001441902508,1.8415140036135376,6527239.12602868,4976317.402581089,708698.2136516032,0.06853880873326874
109,117629.37133744618,50.0,0.7561383928588914,0.15591383907370798,0.11459979119939241,1.8384569565139943,5881468.566872309,4447204.189804915,613919.3974134475,0.05947139541152677
110,29447.313108549813,50.0,0.7134382525446078,0.1139557000184824,0.09145032863518061,1.821083519788716,1472365.6554274906,1050441.980314885,108756.89466485074,0.010635971720167675
111,47280.65279346866,50.0,0.7220736384962683,0.123896909063497,0.09391030763923368,1.8229234730987838,2364032.639673433,1707005.6496529332,191631.3769954858,0.018721835392231483
112,141785.93546252858,50.0,0.7678356552994499,0.16648373455369134,0.12170689508456503,1.8437927295799053,7089296.773126429,5443414.833405807,795944.3699145473,0.07688132444660745
113,68827.6411581431,50.0,0.7325072736937324,0.13382694620300983,0.09847053221894189,1.8263403370579954,3441382.0579071552,2520837.3889760966,304136.3477632495,0.029657658126908314
114,84173.72734512841,50.0,0.7399382641539282,0.14050512933116233,0.10277419484788602,1.8295703896617737,4208686.367256421,3114168.084956018,392587.0633458025,0.038215284841746425
115,175172.48544230932,50.0,0.784002326812673,0.18281466992313056,0.12794499106405588,1.8484644467155489,8758624.272115465,6866781.809016479,1094732.9036512338,0.10547445965994413
116,151881.28465135128,50.0,0.7727240967300805,0.1709979655517307,0.12403270393948801,1.84553615060486,7594064.232567564,5868116.424620982,878977.0936130037,0.08482136168568515
117,126738.49055790597,50.0,0.7605492750345324,0.15993435847362172,0.11753504931871256,1.8406618417981941,6336924.527895299,4819543.355639316,680213.3158048821,0.06581446565327392
118,123703.59172950388,50.0,0.7590796948453737,0.15860678103737386,0.11659143934172546,1.8399531717563136,6185179.586475194,4695044.233065425,657844.1890472925,0.06367464203948373
119,121517.21869058245,50.0,0.7580209938191516,0.1576440315314715,0.11589039392768175,1.8394265782404098,6075860.934529123,4605630.143898725,641907.8711064913,0.06214990699298016
120,109254.97862592034,50.0,0.7520832851531848,0.15206798588143217,0.11162838565952937,1.836223930629734,5462748.931296017,4108442.1622161577,555021.2926636618,0.05383122228173657
121,77520.48397394642,50.0,0.736716583562655,0.13761125299941707,0.10080064518022457,1.8280886450510807,3876024.198697321,2855531.305470468,353343.30071396695,0.03442308981079056
122,123738.58168101848,50.0,0.7590966379273256,0.1586221400037545,0.11660251387333927,1.8399614898269103,6186929.084050924,4696477.066797844,658100.4227536514,0.0636991556696439
123,130871.32717153296,50.0,0.762550506428336,0.16173186011541574,0.11876487106032073,1.8415852125873555,6543566.358576648,4989799.840580045,711165.2175658304,0.0687747353556653
124,118837.53481547826,50.0,0.7567234183285925,0.15645439076418902,0.11500688307510025,1.8387628248730281,5941876.7407739125,4496357.278565591,622570.3901582086,0.060299399348350394
125,77554.93144854176,50.0,0.736733263962594,0.13762620070841536,0.10081043877655105,1.8280959960880736,3877746.572427088,2856864.8891239697,353542.86668362434,0.03444239324688206
126,146768.45802607073,50.0,0.7702483276372862,0.168688382360544,0.12290231675957021,1.8446890279497306,7338422.901303536,5652407.9672242105,836308.7435273436,0.08074092342710502
127,105822.1139026666,50.0,0.750420999101952,0.1504242953391614,0.1103346529424046,1.8352515360197081,5291105.69513333,3970556.8220959823,531368.8311758472,0.05156448912322519
128,115472.45811376657,50.0,0.7550939570728976,0.15494117151122525,0.11385948892713812,1.8379006838517755,5773622.905688329,4359627.7665029215,598575.3617155858,0.0580025432638418
129,60095.26496623194,50.0,0.7282788206936465,0.12994463557556518,0.09641344912430862,1.8247981501989405,3004763.248311597,2188305.43494398,256942.5634593026,0.025076762109933096
130,92910.49256792806,50.0,0.7441688424416126,0.14437122055144866,0.10561617837097055,1.831705319855792,4645524.628396403,3457054.6852477537,446386.2538232449,0.04340157050874299
131,50109.02797137255,50.0,0.7234432143417815,0.1252832147022887,0.09440997714941295,1.8232975057920484,2505451.3985686274,1812551.8131575997,205643.48151656057,0.020086656339581902
132,130025.69713122245,50.0,0.7621410294655562,0.16136466475119707,0.11851841004649284,1.8414001901004329,6501284.856561122,4954895.933428325,704784.3046526717,0.06816450411611692
133,180992.71131240317,50.0,0.7868206377741696,0.18638956719828245,0.1286049907504616,1.8489578264679223,9049635.565620158,7120440.0273650605,1156494.311842888,0.1113952660729317
134,156513.66927743785,50.0,0.7749672227978593,0.17314891684797903,0.12497256719760796,1.846240160393288,7825683.463871893,6064648.180491933,918855.1624131087,0.08863578703542045
135,86300.81284007995,50.0,0.7409682565460216,0.1414366947225976,0.103439927911567,1.830070388266524,4315040.642003997,3197308.1414309274,405439.433147235,0.03945557996134175
136,67696.87294457862,50.0,0.7319597251067306,0.13333061817348293,0.09818812790331805,1.8261285441733868,3384843.6472289306,2477569.2255549515,297900.779054282,0.029052969848938466
137,106450.3820379697,50.0,0.7507252235447838,0.15072877273122517,0.11057472096897987,1.8354319784317308,5322519.101898485,3995749.3425941216,535678.0714265944,0.051977551062895144
138,111996.21290542571,50.0,0.7534106650161653,0.15334913306071027,0.11262984430069242,1.8369766031945842,5599810.645271285,4218957.062218441,574104.8937117917,0.055659315790492235
139,149997.06647849648,50.0,0.771811707271504,0.17014002702636893,0.12362748038647106,1.8452325209183158,7499853.323924824,5788474.598224282,863096.5491325618,0.08330259287616902
140,63214.45461992731,50.0,0.7297892167827685,0.1313462260169051,0.09711557630931512,1.8253243846191847,3160722.7309963657,2306661.366321331,273548.03614361375,0.026689705704099433
141,83043.31775988483,50.0,0.73939088922447,0.14001175782376465,0.10242725720365878,1.829309852923367,4152165.8879942414,3070073.6281315736,385818.41700698866,0.03756175889400327
142,77590.34907379828,50.0,0.7367504141357519,0.13764156943891429,0.10082051279964704,1.8281035576348956,3879517.453689914,2858236.090652922,353748.09154528443,0.03446224385033114
143,29936.655524777732,50.0,0.7136752053925491,0.11426842006616311,0.09150190196652074,1.8211220674551705,1496832.7762388866,1068252.439020587,110898.10833323262,0.010845143942669682
144,120206.0511710465,50.0,0.7573860910034973,0.1570634241753432,0.11546143548447237,1.8391043285602269,6010302.558552326,4552119.560570264,632419.8513995036,0.061242000209936094
145,34816.07085190742,50.0,0.7160379504146632,0.11723378550812222,0.0920653632202961,1.8215432951210193,1740803.542595371,1246481.4007145744,132676.24620954134,0.012971909700423868
146,48541.88985756369,50.0,0.722684363633423,0.12451951068734818,0.09412942286349384,1.8230874821207204,2427094.4928781847,1754023.2390638564,197851.2973464377,0.019327764828881985
147,122026.92600528909,50.0,0.7582678079023599,0.15786904441701893,0.11605541975103065,1.839550544856354,6101346.300264454,4626454.484354702,645610.0933173912,0.06250414596432265
148,80851.43895814622,50.0,0.7383295221588114,0.1390575914800919,0.1017680997564389,1.828814913613537,4042571.947907311,2984750.2145910203,372813.1047583293,0.03630543582713305
149,130300.27365134472,50.0,0.7622739868513523,0.1614839151856355,0.11859872802978225,1.8414604875914484,6515013.682567236,4966225.454201638,706853.438252681,0.06836238560217561
150,109708.24877000364,50.0,0.7523027708302189,0.15228159605908803,0.11179591607599661,1.8363498459771523,5485412.438500182,4126690.9766302346,558164.4007006052,0.05413235865440726
151,174674.0394407503,50.0,0.7837609657622151,0.18252527877321714,0.12788255455883094,1.8484177626021443,8733701.972037515,6845134.692283485,1089632.360374261,0.10498568803030485
152,196418.4622640118,50.0,0.7942902040704918,0.19875574047698966,0.12973806971036356,1.8498043893826603,9820923.11320059,7800663.023744706,1349277.2069581323,0.12990492536908324
153,111764.04800253757,50.0,0.7532982444838202,0.15324157938150418,0.11254611475243609,1.8369136761902418,5588202.400126878,4209583.057835848,572481.5533842893,0.05550383470549198
154,37722.534175405526,50.0,0.7174453386546785,0.11888776594273802,0.0924434750876123,1.8218260390446586,1886126.7087702763,1353192.815319325,146005.94278189546,0.014272954037726096
155,107581.89983772169,50.0,0.7512731351017141,0.1512728679212523,0.11100336204095121,1.8357541558231052,5379094.991886085,4041169.5585641884,543460.8103138279,0.052723465835145034
156,118381.92030238164,50.0,0.7565027974446032,0.15625087504144183,0.11485400226385696,1.8386479602191288,5919096.015119082,4477812.693780789,619303.1533225174,0.05998669659386539
157,55268.62425615454,50.0,0.725941630570096,0.12773042716048263,0.09539857629476996,1.8240378091798122,2763431.212807727,2006089.7605939393,231793.89467641854,0.02263176348459327
158,88243.98918155362,50.0,0.7419091951462633,0.1422922863087005,0.10406283057951281,1.8305382838268456,4412199.459077681,3273451.349509101,417315.7758117992,0.04060095284451184
159,171152.51708973903,50.0,0.7820557492870253,0.18054286588213805,0.1274148761406334,1.8480680231980995,8557625.854486952,6692540.499748813,1054336.2648658156,0.10160414639358425
160,92788.05727100954,50.0,0.7441095559556443,0.1443161470514353,0.10557438636994022,1.8316739175596248,4639402.863550477,3452224.00469589,445613.27607805055,0.043327157650779186
161,150420.5567407071,50.0,0.7720167727233808,0.17033210509797847,0.12371971199132362,1.8453016339471104,7521027.837035355,5806359.6383107435,866649.494583027,0.08364237600255012
162,117070.66886377269,50.0,0.7558678539930614,0.15566287196728182,0.11440969612808308,1.8383141221329335,5853533.443188635,4424497.761979609,609932.6353512759,0.059089781959699675
163,82742.25146305894,50.0,0.7392451047715262,0.13988052106086693,0.10233565844726768,1.8292410694911685,4137112.5731529472,3058340.2175920485,384022.8010199434,0.03738835063604898
164,131878.96228130808,50.0,0.7630384306323879,0.16216920269634877,0.1190550716186962,1.8418030543392994,6593948.114065404,5031435.82062786,718801.6717773394,0.069505013027188
165,114334.31167962638,50.0,0.7545428357517119,0.1544235059208293,0.11346185868792945,1.837601877311025,5716715.583981319,4313506.787923268,590529.1207393011,0.05723215939731924
166,109576.62299037303,50.0,0.7522390340636693,0.15221964144263794,0.11174734575760699,1.836313340796972,5478831.149518651,4121390.651711853,557251.1715450876,0.054044865482991034
167,72156.44314309883,50.0,0.7341191697493575,0.1352809613011058,0.09932955192049753,1.826984706466313,3607822.1571549415,2648571.4066139217,322711.3797742741,0.031457891317952506
168,52588.984366275734,50.0,0.7246440763783739,0.1264713819014863,0.09487272189346777,1.823643983003259,2629449.2183137867,1905414.8001888313,218117.9723367409,0.02130108047361466
169,84762.0277353686,50.0,0.7402231351323872,0.1407623263855162,0.1029566347680029,1.8297074035992698,4238101.38676843,3137140.695522645,396126.4762887098,0.03855693157785371
170,123256.64733498065,50.0,0.7588632722675599,0.1584104673453808,0.11644957759913266,1.8398466177888027,6162832.366749032,4676747.1362676015,654574.5307379782,0.06336183171557443
171,36844.424225663686,50.0,0.7170201340402884,0.11839577411266355,0.09232589663215571,1.8217381097764964,1842221.2112831844,1320909.6998461313,141951.26779764635,0.013877255087473684
172,131211.90984124815,50.0,0.7627154257790241,0.1618797014979176,0.11886338246743863,1.8416591631509633,6560595.492062408,5003867.384092325,713742.2995703523,0.0690211859075829
